"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","alpha","loss","oversample","penalty","random_state","random_state_split","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"different-sweep-97","h988r7ow","finished","-","7ben18","","2023-06-04T08:35:07.000Z","489","87ys4h5o","0.000001","squared_hinge","false","l2","2258","7469","0.2","false","0.8893054193298638","0.8374882561884235","0.8891963250970019","0.8356739645519436","0.8964398506448269","0.8555492208013393","0.8893054193298638","0.8374882561884235"
"misty-sweep-96","h988r7ow","finished","-","7ben18","","2023-06-04T08:26:31.000Z","510","87ys4h5o","0.000001","squared_hinge","false","l2","373","5488","0.2","false","0.8980148115942354","0.782214296447544","0.8988070838179107","0.7987397160915715","0.9059943556467236","0.8423061121707212","0.8980148115942354","0.782214296447544"
"fearless-sweep-95","h988r7ow","finished","-","7ben18","","2023-06-04T08:20:31.000Z","354","87ys4h5o","0.000001","squared_hinge","false","l2","5989","461","0.2","false","0.8932470215356665","0.5997668293924083","0.8935158922997569","0.5681537470427913","0.89899054188095","0.7175967735199256","0.8932470215356665","0.5997668293924083"
"earnest-sweep-94","h988r7ow","finished","-","7ben18","","2023-06-04T08:09:34.000Z","652","87ys4h5o","0.000001","squared_hinge","false","l2","674","6488","0.2","false","0.8947869460766271","0.7529039301907495","0.893532334494302","0.7518793201376301","0.8946078763635116","0.7635810753721028","0.8947869460766271","0.7529039301907495"
"major-sweep-93","h988r7ow","finished","-","7ben18","","2023-06-04T08:01:28.000Z","484","87ys4h5o","0.000001","squared_hinge","false","l2","1951","8477","0.2","false","0.8205563025258472","0.8157637730799573","0.8249227750207524","0.805902506134669","0.8381825776445951","0.831756649074968","0.8205563025258472","0.8157637730799573"
"unique-sweep-92","h988r7ow","finished","-","7ben18","","2023-06-04T07:56:39.000Z","283","87ys4h5o","0.000001","squared_hinge","false","l2","920","1286","0.2","false","0.868407260319333","0.7271218346084424","0.8706252250949043","0.7233272793239036","0.8769270139455013","0.7403932519063711","0.868407260319333","0.7271218346084424"
"astral-sweep-91","h988r7ow","finished","-","7ben18","","2023-06-04T07:49:26.000Z","432","87ys4h5o","0.000001","squared_hinge","false","l2","2252","772","0.2","false","0.8597298467766087","0.8548565622108109","0.8587334503485863","0.8611921201321658","0.8680700979839212","0.8801374307949952","0.8597298467766087","0.8548565622108109"
"sunny-sweep-90","h988r7ow","finished","-","7ben18","","2023-06-04T07:43:05.000Z","380","87ys4h5o","0.000001","squared_hinge","false","l2","5150","4471","0.2","false","0.8597785645838301","0.6765105611869302","0.866217148879775","0.6737369940372031","0.8854866938076036","0.6914839339482085","0.8597785645838301","0.6765105611869302"
"denim-sweep-89","h988r7ow","finished","-","7ben18","","2023-06-04T07:36:59.000Z","362","87ys4h5o","0.000001","squared_hinge","false","l2","9019","6583","0.2","false","0.8799692415874785","0.7490963994038538","0.8800463773328973","0.7865897333178946","0.8852824911445233","0.8891845886332546","0.8799692415874785","0.7490963994038538"
"fallen-sweep-88","h988r7ow","finished","-","7ben18","","2023-06-04T07:30:07.000Z","410","87ys4h5o","0.000001","squared_hinge","false","l2","2202","7424","0.2","false","0.9066564905003434","0.7277246124807428","0.9078157902009448","0.7525401929412211","0.910419375434846","0.8415662607949012","0.9066564905003434","0.7277246124807428"
