"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","ccp_alpha","class_weight","criterion","max_depth","max_features","min_samples_leaf","min_samples_split","oversample","random_state","random_state_split","splitter","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"earnest-sweep-655","94s1kqfp","finished","-","7ben18","","2023-06-03T12:23:01.000Z","92","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","10","7595","best","0.2","false","0.950352728829808","0.6110844131447195","0.9501768664473924","0.6309484390329944","0.9503414334328976","0.7149062695574654","0.950352728829808","0.6110844131447195"
"good-sweep-654","94s1kqfp","finished","-","7ben18","","2023-06-03T12:21:25.000Z","92","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","991","5045","best","0.2","false","0.9536122286715198","0.6507231908717427","0.9552831314066458","0.6564661504217423","0.9626246942280358","0.7873727148792252","0.9536122286715198","0.6507231908717427"
"whole-sweep-653","94s1kqfp","finished","-","7ben18","","2023-06-03T12:19:48.000Z","92","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","9196","419","best","0.2","false","0.9580058933316388","0.746836196220914","0.9585017139158658","0.7662426501601862","0.9604655623321318","0.8190953714276917","0.9580058933316388","0.746836196220914"
"radiant-sweep-652","94s1kqfp","finished","-","7ben18","","2023-06-03T12:18:11.000Z","94","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","3890","2839","best","0.2","false","0.956547603100548","0.8563064574186486","0.9573318118299586","0.860183747681077","0.9600671507217814","0.8794164205804124","0.956547603100548","0.8563064574186486"
"fearless-sweep-651","94s1kqfp","finished","-","7ben18","","2023-06-03T12:16:32.000Z","95","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","5942","8893","best","0.2","false","0.9613406600476174","0.7244443121525789","0.9611865183650694","0.7558975886813547","0.9625944491670588","0.8385168143211599","0.9613406600476174","0.7244443121525789"
"still-sweep-650","94s1kqfp","finished","-","7ben18","","2023-06-03T12:14:53.000Z","95","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","1534","2047","best","0.2","false","0.9697961221928656","0.676814278160499","0.9699493905412238","0.7018883124033418","0.9704444708119364","0.7778292159029505","0.9697961221928656","0.676814278160499"
"spring-sweep-649","94s1kqfp","finished","-","7ben18","","2023-06-03T12:13:15.000Z","93","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","1889","3440","best","0.2","false","0.9682448991102526","0.8185755047106326","0.96835613894039","0.8201387068834493","0.968638779153806","0.8639209117735885","0.9682448991102526","0.8185755047106326"
"rich-sweep-648","94s1kqfp","finished","-","7ben18","","2023-06-03T12:11:39.000Z","93","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","27","6465","best","0.2","false","0.9714981628272042","0.7731913108334887","0.9714454849339248","0.7658725621716694","0.9717407676632132","0.7746745791235291","0.9714981628272042","0.7731913108334887"
"good-sweep-647","94s1kqfp","finished","-","7ben18","","2023-06-03T12:10:04.000Z","91","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","4885","3169","best","0.2","false","0.9719107381028708","0.8488991117360514","0.9721650435195816","0.8422268660955781","0.9728488440708718","0.8578500445345676","0.9719107381028708","0.8488991117360514"
"fast-sweep-646","94s1kqfp","finished","-","7ben18","","2023-06-03T12:08:24.000Z","95","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","9286","6485","best","0.2","false","0.972779278107884","0.7480673489282662","0.9731572686589688","0.7385343517282928","0.9748904490520888","0.7788133051958432","0.972779278107884","0.7480673489282662"
"lyric-sweep-645","94s1kqfp","finished","-","7ben18","","2023-06-03T12:06:43.000Z","96","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","4775","5576","best","0.2","false","0.9604111958508786","0.6890753622121625","0.9604299278351468","0.6885671223735744","0.9604785662354338","0.7743855815092073","0.9604111958508786","0.6890753622121625"
"chocolate-sweep-644","94s1kqfp","finished","-","7ben18","","2023-06-03T12:05:05.000Z","93","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","8902","3086","best","0.2","false","0.9584399202479086","0.7275508414820231","0.9581545423026236","0.7489438835833228","0.958303214164547","0.8086277690160787","0.9584399202479086","0.7275508414820231"
"polished-sweep-643","94s1kqfp","finished","-","7ben18","","2023-06-03T12:03:32.000Z","91","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","4474","3397","best","0.2","false","0.9578996171158856","0.8214462117879496","0.9576332361888418","0.8261747416126687","0.958154442103734","0.8583602749992137","0.9578996171158856","0.8214462117879496"
"devout-sweep-642","94s1kqfp","finished","-","7ben18","","2023-06-03T12:01:54.000Z","93","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","591","3185","best","0.2","false","0.9592863037916032","0.7888013323473511","0.9599990355780323","0.7930392664697516","0.961608626627458","0.8047640190971004","0.9592863037916032","0.7888013323473511"
"rich-sweep-641","94s1kqfp","finished","-","7ben18","","2023-06-03T12:00:17.000Z","92","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","2591","9480","best","0.2","false","0.9611918600155276","0.8247549868333105","0.961998068893264","0.8213968455459902","0.9649526298217426","0.8295528394690044","0.9611918600155276","0.8247549868333105"
"scarlet-sweep-640","94s1kqfp","finished","-","7ben18","","2023-06-03T11:58:40.000Z","96","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","5517","1103","best","0.2","false","0.9534711913112937","0.8213695201258014","0.9531747281385986","0.8175638887745528","0.9536028064904368","0.8200693914862862","0.9534711913112937","0.8213695201258014"
"volcanic-sweep-639","94s1kqfp","finished","-","7ben18","","2023-06-03T11:57:03.000Z","93","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","7480","2517","best","0.2","false","0.9595178890644224","0.6225872455682601","0.959374011678944","0.6498332762517576","0.9593769850815328","0.7953381101890546","0.9595178890644224","0.6225872455682601"
"fluent-sweep-638","94s1kqfp","finished","-","7ben18","","2023-06-03T11:55:28.000Z","93","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","1016","1030","best","0.2","false","0.9686396304101836","0.8298144867376364","0.9687006767369954","0.8303218944907971","0.968832058198796","0.8523222418589284","0.9686396304101836","0.8298144867376364"
"usual-sweep-637","94s1kqfp","finished","-","7ben18","","2023-06-03T11:53:49.000Z","95","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","2309","375","best","0.2","false","0.9485914758358424","0.7447998326234466","0.9492691136817032","0.7477026082084531","0.9531933096770676","0.815281698296825","0.9485914758358424","0.7447998326234466"
"trim-sweep-636","94s1kqfp","finished","-","7ben18","","2023-06-03T11:52:07.000Z","98","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","5013","8031","best","0.2","false","0.954950574495146","0.5406689203718261","0.9558435859716448","0.5918990579462866","0.962579994103416","0.798213511238255","0.954950574495146","0.5406689203718261"
"easy-sweep-635","94s1kqfp","finished","-","7ben18","","2023-06-03T11:50:25.000Z","96","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","3170","985","best","0.2","false","0.9529063048746824","0.6947889547777456","0.9540333451351376","0.6925237254728028","0.9573255416538178","0.7431415296793104","0.9529063048746824","0.6947889547777456"
"rare-sweep-634","94s1kqfp","finished","-","7ben18","","2023-06-03T11:48:47.000Z","94","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","2196","1190","best","0.2","false","0.9720667093526774","0.8449055443225169","0.9721778339291391","0.8425768248272894","0.972734691624192","0.8443511133044043","0.9720667093526774","0.8449055443225169"
"scarlet-sweep-633","94s1kqfp","finished","-","7ben18","","2023-06-03T11:47:13.000Z","92","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","3734","8756","best","0.2","false","0.9675172920256616","0.7503381032206863","0.9677970586312006","0.7614894594157398","0.9687927920501552","0.8062162470243706","0.9675172920256616","0.7503381032206863"
