"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","bootstrap","class_weight","criterion","max_depth","max_features","min_samples_leaf","min_samples_split","n_estimators","oversample","random_state","random_state_split","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"dry-sweep-167","l3zf8vab","finished","-","7ben18","","2023-06-02T20:02:45.000Z","127","ednseq2z","false","","gini","10","sqrt","5","10","6","false","8112","6629","0.2","false","0.988138726589628","0.814223339153389","0.9880486377711654","0.8131378748431286","0.9883185163919628","0.8252525434926458","0.988138726589628","0.814223339153389"
"expert-sweep-166","l3zf8vab","finished","-","7ben18","","2023-06-02T20:00:32.000Z","128","ednseq2z","false","","gini","10","sqrt","5","10","6","false","4458","1129","0.2","false","0.986091058484808","0.7554084348553621","0.985943997228175","0.750443111182854","0.986452889389556","0.7793406432844684","0.986091058484808","0.7554084348553621"
"smooth-sweep-165","l3zf8vab","finished","-","7ben18","","2023-06-02T19:58:16.000Z","131","ednseq2z","false","","gini","10","sqrt","5","10","6","false","6366","3532","0.2","false","0.9828958988834648","0.9057500399210068","0.9826640310787124","0.9045554333908912","0.9834089245600928","0.907282154326379","0.9828958988834648","0.9057500399210068"
"effortless-sweep-164","l3zf8vab","finished","-","7ben18","","2023-06-02T19:56:17.000Z","113","ednseq2z","false","","gini","10","sqrt","5","10","6","false","7462","1262","0.2","false","0.9903068137136468","0.7675698730310332","0.9902950302367198","0.7979077804111095","0.990442800617969","0.8941404484448914","0.9903068137136468","0.7675698730310332"
"fiery-sweep-163","l3zf8vab","finished","-","7ben18","","2023-06-02T19:54:14.000Z","121","ednseq2z","false","","gini","10","sqrt","5","10","6","false","9379","7687","0.2","false","0.9813912461566088","0.7644809268977496","0.980971738419542","0.7420792464077031","0.9820768820765908","0.8232787356196818","0.9813912461566088","0.7644809268977496"
"stilted-sweep-162","l3zf8vab","finished","-","7ben18","","2023-06-02T19:52:20.000Z","108","ednseq2z","false","","gini","10","sqrt","5","10","6","false","4198","2354","0.2","false","0.9840080828175056","0.9153202058244604","0.9838688608762134","0.9128635329339184","0.9843845998507016","0.9138860349335984","0.9840080828175056","0.9153202058244604"
"cosmic-sweep-161","l3zf8vab","finished","-","7ben18","","2023-06-02T19:50:21.000Z","114","ednseq2z","false","","gini","10","sqrt","5","10","6","false","192","3786","0.2","false","0.9822962642585056","0.8613250816788137","0.9820358302012984","0.8558093443421886","0.9827991589675132","0.8581540114476558","0.9822962642585056","0.8613250816788137"
"avid-sweep-160","l3zf8vab","finished","-","7ben18","","2023-06-02T19:48:30.000Z","107","ednseq2z","false","","gini","10","sqrt","5","10","6","false","3998","803","0.2","false","0.9914737317806216","0.8537712384903541","0.9914533010916122","0.8650603604088299","0.9915198515396036","0.8910603287344797","0.9914737317806216","0.8537712384903541"
"ethereal-sweep-159","l3zf8vab","finished","-","7ben18","","2023-06-02T19:46:31.000Z","116","ednseq2z","false","","gini","10","sqrt","5","10","6","false","6119","8271","0.2","false","0.9873105738794716","0.8552338954497726","0.9872874738602694","0.8735190644269153","0.9873709124463635","0.926059119896122","0.9873105738794716","0.8552338954497726"
"ethereal-sweep-158","l3zf8vab","finished","-","7ben18","","2023-06-02T19:44:22.000Z","123","ednseq2z","false","","gini","10","sqrt","5","10","6","false","9218","2547","0.2","false","0.9886340170655628","0.8039194440980393","0.988584627079096","0.8241166319406072","0.9887565853941072","0.8756407468327281","0.9886340170655628","0.8039194440980393"
"peach-sweep-157","l3zf8vab","finished","-","7ben18","","2023-06-02T19:42:13.000Z","124","ednseq2z","false","","gini","10","sqrt","5","10","6","false","8127","8744","0.2","false","0.9859474199202638","0.9103242637141694","0.9857919663195184","0.9104417540066188","0.9863305979609668","0.9156547745491622","0.9859474199202638","0.9103242637141694"
"dutiful-sweep-156","l3zf8vab","finished","-","7ben18","","2023-06-02T19:40:10.000Z","121","ednseq2z","false","","gini","10","sqrt","5","10","6","false","6901","9202","0.2","false","0.986899306339456","0.8660739509311776","0.9868396804879868","0.8686710864880102","0.9871939097889524","0.8913226348229735","0.986899306339456","0.8660739509311776"
"clear-sweep-155","l3zf8vab","finished","-","7ben18","","2023-06-02T19:38:06.000Z","118","ednseq2z","false","","gini","10","sqrt","5","10","6","false","394","5815","0.2","false","0.9885356052254958","0.8656018209646403","0.9884531502435164","0.8670274080052907","0.9886997706752396","0.8734254693309973","0.9885356052254958","0.8656018209646403"
"toasty-sweep-154","l3zf8vab","finished","-","7ben18","","2023-06-02T19:35:55.000Z","126","ednseq2z","false","","gini","10","sqrt","5","10","6","false","18","2752","0.2","false","0.9802607451567372","0.8235909470806051","0.9798667434188438","0.821104117048248","0.981099252988723","0.8882171035456585","0.9802607451567372","0.8235909470806051"
"sunny-sweep-153","l3zf8vab","finished","-","7ben18","","2023-06-02T19:33:44.000Z","125","ednseq2z","false","","gini","10","sqrt","5","10","6","false","6231","7511","0.2","false","0.98381011386451","0.8191803182169779","0.9836972079354258","0.8218319561309099","0.9840569643462782","0.834430579516994","0.98381011386451","0.8191803182169779"
"noble-sweep-152","l3zf8vab","finished","-","7ben18","","2023-06-02T19:31:31.000Z","131","ednseq2z","false","","gini","10","sqrt","5","10","6","false","9145","7769","0.2","false","0.986539824555572","0.7153171890451008","0.9864167105925196","0.7202932337199858","0.9868639235295684","0.7629695297285979","0.986539824555572","0.7153171890451008"
"snowy-sweep-151","l3zf8vab","finished","-","7ben18","","2023-06-02T19:29:14.000Z","134","ednseq2z","false","","gini","10","sqrt","5","10","6","false","6116","7762","0.2","false","0.9876763044991236","0.8359680322147142","0.9876075102212588","0.8525321726690406","0.9879285225489076","0.9282580906587564","0.9876763044991236","0.8359680322147142"
"amber-sweep-150","l3zf8vab","finished","-","7ben18","","2023-06-02T19:27:01.000Z","128","ednseq2z","false","","gini","10","sqrt","5","10","6","false","2571","9936","0.2","false","0.9831786948070326","0.8191671345501588","0.9829393722603242","0.819344772713094","0.9836530045610016","0.8310958299078","0.9831786948070326","0.8191671345501588"
"iconic-sweep-149","l3zf8vab","finished","-","7ben18","","2023-06-02T19:24:38.000Z","139","ednseq2z","false","","gini","10","sqrt","5","10","6","false","9957","513","0.2","false","0.9890705268501238","0.8605280555702268","0.9889519785752102","0.8566856414298515","0.989231469994608","0.8713570148805169","0.9890705268501238","0.8605280555702268"
"proud-sweep-148","l3zf8vab","finished","-","7ben18","","2023-06-02T19:22:19.000Z","133","ednseq2z","false","","gini","10","sqrt","5","10","6","false","2194","4376","0.2","false","0.9844856628593456","0.8986563992055715","0.9843607643043346","0.8933482401588186","0.9847967308042008","0.8996470660331016","0.9844856628593456","0.8986563992055715"
"glamorous-sweep-147","l3zf8vab","finished","-","7ben18","","2023-06-02T19:19:58.000Z","138","ednseq2z","false","","gini","10","sqrt","5","10","6","false","2979","4559","0.2","false","0.9881730799450172","0.7891340623237217","0.9881266857557562","0.7880042542180948","0.9883557281499336","0.7945897617061566","0.9881730799450172","0.7891340623237217"
"rose-sweep-146","l3zf8vab","finished","-","7ben18","","2023-06-02T19:17:57.000Z","119","ednseq2z","false","","gini","10","sqrt","5","10","6","false","6038","8854","0.2","false","0.9851689099393902","0.7496200248167398","0.9850378241463414","0.7529209126034173","0.9854752400948588","0.7781193012602615","0.9851689099393902","0.7496200248167398"
"sparkling-sweep-145","l3zf8vab","finished","-","7ben18","","2023-06-02T19:15:51.000Z","123","ednseq2z","false","","gini","10","sqrt","5","10","6","false","8399","9498","0.2","false","0.9849864706814132","0.7763932112523036","0.9848967540049114","0.7832519602660166","0.9852757557808192","0.8273343075709718","0.9849864706814132","0.7763932112523036"
"feasible-sweep-144","l3zf8vab","finished","-","7ben18","","2023-06-02T19:13:50.000Z","119","ednseq2z","false","","gini","10","sqrt","5","10","6","false","2527","3228","0.2","false","0.991456590166732","0.7054614549577959","0.9914317973168858","0.7194186885332148","0.9915281106848004","0.7947358237339218","0.991456590166732","0.7054614549577959"
"drawn-sweep-143","l3zf8vab","finished","-","7ben18","","2023-06-02T19:11:31.000Z","138","ednseq2z","false","","gini","10","sqrt","5","10","6","false","9943","3048","0.2","false","0.9898465869137484","0.7733475538683388","0.9897978216776878","0.7543607011062532","0.9899370507946644","0.7958085336186433","0.9898465869137484","0.7733475538683388"
"easy-sweep-142","l3zf8vab","finished","-","7ben18","","2023-06-02T19:09:23.000Z","124","ednseq2z","false","","gini","10","sqrt","5","10","6","false","1158","2215","0.2","false","0.9902140842017642","0.8751820489761486","0.9901559847846158","0.875843329004468","0.990336040382029","0.8778352593729499","0.9902140842017642","0.8751820489761486"
"cerulean-sweep-141","l3zf8vab","finished","-","7ben18","","2023-06-02T19:06:56.000Z","144","ednseq2z","false","","gini","10","sqrt","5","10","6","false","9230","8292","0.2","false","0.9814765775803632","0.8818977991712207","0.9813004030420596","0.8855912930970863","0.9820528875504964","0.8956522584444875","0.9814765775803632","0.8818977991712207"
"upbeat-sweep-140","l3zf8vab","finished","-","7ben18","","2023-06-02T19:05:00.000Z","110","ednseq2z","false","","gini","10","sqrt","5","10","6","false","1825","6674","0.2","false","0.98596718844578","0.9545713762343044","0.985891306940888","0.9533687317091706","0.9861387359572932","0.9549727914033038","0.98596718844578","0.9545713762343044"
"spring-sweep-139","l3zf8vab","finished","-","7ben18","","2023-06-02T19:03:00.000Z","118","ednseq2z","false","","gini","10","sqrt","5","10","6","false","14","3143","0.2","false","0.9860366924425265","0.8058735635600204","0.985888439365754","0.8003213264883038","0.9864625858064276","0.822527472010515","0.9860366924425265","0.8058735635600204"
"upbeat-sweep-138","l3zf8vab","finished","-","7ben18","","2023-06-02T19:00:59.000Z","118","ednseq2z","false","","gini","10","sqrt","5","10","6","false","6599","1501","0.2","false","0.9859620948315168","0.9071390337620164","0.985839494109992","0.9068085014284224","0.9862222892554317","0.9088800020617912","0.9859620948315168","0.9071390337620164"
"cool-sweep-137","l3zf8vab","finished","-","7ben18","","2023-06-02T18:58:58.000Z","115","ednseq2z","false","","gini","10","sqrt","5","10","6","false","6979","6718","0.2","false","0.9867248531517498","0.9328791988741816","0.9866274449504752","0.9317051733785144","0.9869052224495592","0.9354106875955728","0.9867248531517498","0.9328791988741816"
"devout-sweep-136","l3zf8vab","finished","-","7ben18","","2023-06-02T18:56:44.000Z","129","ednseq2z","false","","gini","10","sqrt","5","10","6","false","9674","6342","0.2","false","0.9875494015479152","0.6670883875947594","0.987505549264383","0.6946496587747004","0.9878182040949052","0.7668223223137667","0.9875494015479152","0.6670883875947594"
"dark-sweep-135","l3zf8vab","finished","-","7ben18","","2023-06-02T18:54:38.000Z","123","ednseq2z","false","","gini","10","sqrt","5","10","6","false","4932","4644","0.2","false","0.9771296265977416","0.7515527950310559","0.9766969796909188","0.7530224427959425","0.9782798217640316","0.7890871592611135","0.9771296265977416","0.7515527950310559"
"still-sweep-134","l3zf8vab","finished","-","7ben18","","2023-06-02T18:51:49.000Z","164","ednseq2z","false","","gini","10","sqrt","5","10","6","false","5365","4802","0.2","false","0.986358418309431","0.9395735083604076","0.9862438509165488","0.9379495501411282","0.986631953863344","0.9412976515405208","0.986358418309431","0.9395735083604076"
"solar-sweep-133","l3zf8vab","finished","-","7ben18","","2023-06-02T18:49:44.000Z","120","ednseq2z","false","","gini","10","sqrt","5","10","6","false","7164","6870","0.2","false","0.987376480821026","0.8266847785425707","0.9873042161947866","0.8180418459788737","0.9875680998143016","0.8406828049375334","0.987376480821026","0.8266847785425707"
"whole-sweep-132","l3zf8vab","finished","-","7ben18","","2023-06-02T18:47:22.000Z","139","ednseq2z","false","","gini","10","sqrt","5","10","6","false","7366","7993","0.2","false","0.987492945716334","0.7998625706145148","0.9874464171014192","0.8356576692115949","0.9877134166967784","0.9123001137302744","0.987492945716334","0.7998625706145148"
"dainty-sweep-131","l3zf8vab","finished","-","7ben18","","2023-06-02T18:45:18.000Z","121","ednseq2z","false","","gini","10","sqrt","5","10","6","false","2336","1631","0.2","false","0.9890900752412316","0.8933012286876436","0.989065657430138","0.889066809652678","0.9891359821604676","0.8979762058821772","0.9890900752412316","0.8933012286876436"
"grateful-sweep-130","l3zf8vab","finished","-","7ben18","","2023-06-02T18:43:34.000Z","99","ednseq2z","false","","gini","10","sqrt","5","10","6","false","8546","1793","0.2","false","0.9873428803702082","0.8593999216607913","0.9872639558856732","0.8617463175318768","0.9875822354230792","0.8703257202605535","0.9873428803702082","0.8593999216607913"
